2026-09-03 20:18:06.793 [main] INFO  c.a.p.p.UserProfileServiceApplication - Starting UserProfileServiceApplication using Java 21.0.7 with PID 15880 (E:\alumni portal\alumni-platform\services\user-profile-service\target\classes started by Athrava Kemkar in E:\alumni portal\alumni-platform\services\user-profile-service)
2026-09-03 20:18:09.930 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": << Empty Schema >>
2026-09-03 20:18:09.948 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "public" to version "1 - initial schema"
2026-09-03 20:18:10.244 [main] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema "public", now at version v1 (execution time 00:00.276s)
2026-09-03 20:18:10.364 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-09-03 20:18:10.432 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-09-03 20:18:10.458 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-09-03 20:18:10.648 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-09-03 20:18:10.692 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-09-03 20:18:11.749 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-09-03 20:18:11.794 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-09-03 20:18:12.144 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-09-03 20:18:13.143 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-09-03 20:18:13.187 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: d544fbe5-0ca4-4a1c-99a6-b04f4b207786

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-09-03 20:18:13.988 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 4 endpoint(s) beneath base path '/actuator'
2026-09-03 20:18:14.127 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@79b35952, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1648577d, org.springframework.security.web.context.SecurityContextHolderFilter@419ae488, org.springframework.security.web.header.HeaderWriterFilter@4325123b, org.springframework.web.filter.CorsFilter@7bdf37cc, org.springframework.security.web.authentication.logout.LogoutFilter@4ae8bf28, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7b0579c1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4ce2e026, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1a9baca7, org.springframework.security.web.session.SessionManagementFilter@5494cf4b, org.springframework.security.web.access.ExceptionTranslationFilter@2a3d8a59, org.springframework.security.web.access.intercept.AuthorizationFilter@41971628]
2026-09-03 20:18:15.083 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path ''
2026-09-03 20:18:15.094 [main] INFO  c.a.p.p.UserProfileServiceApplication - Started UserProfileServiceApplication in 8.988 seconds (process running for 9.478)
2026-09-03 20:18:51.469 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-09-03 20:18:51.484 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-09-03 20:18:51.526 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-09-03 20:18:51.526 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-09-03 20:18:51.526 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-09-03 20:19:34.532 [main] INFO  c.a.p.p.UserProfileServiceApplication - Starting UserProfileServiceApplication v1.0.0-SNAPSHOT using Java 21.0.7 with PID 12532 (E:\alumni portal\alumni-platform\services\user-profile-service\target\user-profile-service-1.0.0-SNAPSHOT.jar started by Athrava Kemkar in E:\alumni portal\alumni-platform\services\user-profile-service)
2026-09-03 20:19:34.534 [main] DEBUG c.a.p.p.UserProfileServiceApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-09-03 20:19:34.534 [main] INFO  c.a.p.p.UserProfileServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-03 20:19:36.155 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-09-03 20:19:36.156 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-09-03 20:19:36.379 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 215 ms. Found 7 JPA repository interfaces.
2026-09-03 20:19:37.182 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-09-03 20:19:37.184 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-09-03 20:19:37.236 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.alumni.platform.profile.repository.AlumniProfileRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-09-03 20:19:37.237 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.alumni.platform.profile.repository.CareerInterestRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-09-03 20:19:37.239 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.alumni.platform.profile.repository.EducationRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-09-03 20:19:37.242 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.alumni.platform.profile.repository.ExperienceRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-09-03 20:19:37.243 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.alumni.platform.profile.repository.ExpertiseAreaRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-09-03 20:19:37.243 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.alumni.platform.profile.repository.SkillRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-09-03 20:19:37.245 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.alumni.platform.profile.repository.StudentProfileRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-09-03 20:19:37.246 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 42 ms. Found 0 Redis repository interfaces.
2026-09-03 20:19:38.754 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-09-03 20:19:38.773 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-09-03 20:19:38.774 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-09-03 20:19:38.836 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-03 20:19:38.836 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4175 ms
2026-09-03 20:19:39.371 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-09-03 20:19:39.742 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@430d3021
2026-09-03 20:19:39.745 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-09-03 20:19:39.898 [main] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2026-09-03 20:19:39.899 [main] INFO  o.f.c.i.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2026-09-03 20:19:39.899 [main] INFO  o.f.c.i.license.VersionPrinter - 
2026-09-03 20:19:39.929 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5433/profile_db (PostgreSQL 16.14)
2026-09-03 20:19:39.946 [main] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: PostgreSQL 16.14 is newer than this version of Flyway and support has not been tested. The latest supported version of PostgreSQL is 15.
2026-09-03 20:19:40.017 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.051s)
2026-09-03 20:19:40.050 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 1
2026-09-03 20:19:40.055 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
2026-09-03 20:19:40.206 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-09-03 20:19:40.341 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-09-03 20:19:40.408 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-09-03 20:19:40.864 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-09-03 20:19:40.946 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-09-03 20:19:42.924 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-09-03 20:19:43.006 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-09-03 20:19:43.639 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-09-03 20:19:45.287 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-09-03 20:19:45.333 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 84629cf5-199d-46fa-aa0d-bcf6a9b83406

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-09-03 20:19:46.649 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 4 endpoint(s) beneath base path '/actuator'
2026-09-03 20:19:46.836 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4adc3ae6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45e88379, org.springframework.security.web.context.SecurityContextHolderFilter@7b934a96, org.springframework.security.web.header.HeaderWriterFilter@7e8653b6, org.springframework.web.filter.CorsFilter@70ce5a0a, org.springframework.security.web.authentication.logout.LogoutFilter@6f34f86, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@65618897, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3dd09249, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3fd7a2bd, org.springframework.security.web.session.SessionManagementFilter@4b18821d, org.springframework.security.web.access.ExceptionTranslationFilter@277ffb17, org.springframework.security.web.access.intercept.AuthorizationFilter@56d8283a]
2026-09-03 20:19:47.994 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path ''
2026-09-03 20:19:48.015 [main] INFO  c.a.p.p.UserProfileServiceApplication - Started UserProfileServiceApplication in 14.255 seconds (process running for 14.944)
2026-09-03 20:19:54.758 [http-nio-8082-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-09-03 20:19:54.759 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-09-03 20:19:54.760 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-09-03 20:19:54.781 [http-nio-8082-exec-1] DEBUG o.s.security.web.FilterChainProxy - Securing GET /actuator/health
2026-09-03 20:19:54.806 [http-nio-8082-exec-1] DEBUG o.s.s.w.a.AnonymousAuthenticationFilter - Set SecurityContextHolder to anonymous SecurityContext
2026-09-03 20:19:54.812 [http-nio-8082-exec-1] DEBUG o.s.security.web.FilterChainProxy - Secured GET /actuator/health
